phase_id,phase_name,task_id,task_name,description,dependencies,status,context,acceptance_criteria
P0,风格与静态基线,P0-T01,确定项目名称与视觉原则,"确认项目/仓库名称、简约/流畅/模块化三项原则，并明确首个里程碑不接后端",无,done,"已确定项目名 Serein、仓库名 serein-diary；视觉原则已写入 README 和架构文档","README 与架构文档使用确定名称；明确首个里程碑不包含 API、真实数据与认证"
P0,风格与静态基线,P0-T02,建立前端静态目录,"创建纯静态 frontend 入口、样式目录、脚本目录和 mock 数据目录",P0-T01,done,"已创建 frontend/index.html、styles/base.css、scripts/mock-entries.js 与 scripts/app.js；使用原生 HTML/CSS/JS","浏览器可加载静态入口；资源职责清晰，未引入 React、Vite、Tiptap 或后端"
P0,风格与静态基线,P0-T03,建立视觉 token,"集中定义字体、字号、间距、颜色、阅读宽度和响应式断点",P0-T02,done,"已创建 frontend/styles/tokens.css；基础页面仅通过 token 使用字体、颜色和阅读排版","调整 token 即可改变整体视觉，无需在组件中重复硬编码"
P1,滚动区静态原型,P1-T01,创建全页滚动区,"实现占据视口宽度和高度的连续滚动主体",P0-T03,todo,"仅考虑浏览体验，不考虑 API、加载、保存或真实日记","页面可连续滚动，移动端与桌面端无横向溢出"
P1,滚动区静态原型,P1-T02,渲染占位日记列表,"使用若干带边框和随机文本的静态矩形作为单篇日记占位",P1-T01,todo,"占位内容来自 mock 数据，不使用后端","多个元素形成视觉连续的日记列表"
P1,滚动区静态原型,P1-T03,静态容器验证,"为 frontend 增加最小 Caddy 容器配置并用 Compose 验证静态页面",P1-T02,todo,"只启动 web/Caddy；不启动 API、认证、真实数据卷或服务器主 Caddy","通过本机映射端口访问页面；容器重启后静态页面仍可加载"
P2,单篇日记静态交互,P2-T01,定义静态日记样本,"定义 mock entry 列表及 reading、editing、new 三种前端状态",P1-T02,todo,"new 项不含持久 ID；状态不涉及数据库或 API","样本数据可独立替换，页面逻辑不依赖具体文案"
P2,单篇日记静态交互,P2-T02,实现浏览模式,"设计已保存日记的静态阅读外观",P2-T01,todo,"先确定正文、日期与基础间距；不加入评论、时间轴或元数据面板","阅读状态视觉安静，连续排列时不显得像管理卡片"
P2,单篇日记静态交互,P2-T03,实现编辑模式切换,"实现从浏览模式进入和退出静态编辑模式的交互",P2-T02,todo,"仅在浏览器内更新 mock 内容；暂不保存","可清楚区分阅读与编辑，编辑不破坏滚动区布局"
P2,单篇日记静态交互,P2-T04,实现新建模式,"在列表末尾展示并激活未保存的新建日记入口",P2-T03,todo,"与编辑模式复用样式和交互，只区别于标签与临时身份","新建项始终位于末尾，能够进入编辑并返回浏览状态"
P2,单篇日记静态交互,P2-T05,桌面与手机体验检查,"手动检查滚动、模式切换、阅读宽度和触摸交互",P2-T04,todo,"不评估后端或数据持久化","Windows 和手机浏览器均可完成浏览、编辑和新建静态演示"
P3,独立应用基础,P3-T01,建立后端与认证框架,"创建独立 FastAPI 服务、DIARY 配置、/api/v1 健康接口和单管理员认证",P2-T05,todo,"细节在开始本阶段前再设计","Compose 可启动 web 与 api；未认证写操作被拒绝"
P4,数据与迁移,P4-T01,实现可迁移存储与索引,"实现条目文件存储、可重建 SQLite 索引和迁移 dry-run",P3-T01,todo,"以 metadata.json、content.md、comments.json、media-manifest.json 为事实来源","可从文件重建索引；dry-run 不修改原数据"
P5,正式写作功能,P5-T01,接入富文本与日记 API,"接入 Tiptap Markdown 适配、连续流加载、保存、评论和媒体功能",P4-T01,todo,"按届时确定的交互与安全细节拆分子任务","正式数据可跨设备读写并保持可迁移"
P6,发布与维护,P6-T01,完成发布与恢复验证,"完善 Compose 发布、备份恢复、导出、文档和 Portal 链接",P5-T01,todo,"多人协作、公开分享和 AI 不进入首发范围","新用户可按 README 自托管；备份恢复经过演练"
